,key,DOCUMENTO,PROGRAMA,CICLO,ESTADO,PUNTOS,CREDITOS,PROMEDIO,TIPO_DOCUMENTO,GENERO,TITULO_BACHILLER,EDAD,ESTADO_CIVIL,EMPLEO,ESTRATO,GRUPO_VULNERABLE,latitude,longitude,LOCALIDAD
5075,4fa90bfa22f86c33cc06bf3f28451ebf,14fe0495392e23443b24056112832389,TECNICO PROFESIONAL EN ELECTROMECANICA,TECNICO,DESERTOR,83.50000000000001,33,2.5303030303030307,CC,M,REGULAR,34.0,UNION LIBRE,EMPLEADO,1.0,0,,,
5076,f5c2644ab63a9c067535e05b19385384,14fe0495392e23443b24056112832389,TECNICO PROFESIONAL EN MANTENIMIENTO INDUSTRIAL,TECNICO,DESERTOR,30.999999999999996,14,2.214285714285714,CC,M,REGULAR,34.0,UNION LIBRE,EMPLEADO,1.0,0,,,
5077,21eff008735839da163cd63bd909e852,ced786cd5808566f8433e2775fb9d772,TECNICA PROFESIONAL EN PROCESOS DE MANUFACTURA,TECNICO,DESERTOR,167.90000000000003,65,2.5830769230769235,CC,M,REGULAR,34.0,SOLTERO,,1.0,0,4.6457232,-74.0569682,CHAPINERO
5078,af85b8f296e3b1be3fd54091e351cec0,ced786cd5808566f8433e2775fb9d772,TECNICO PROFESIONAL EN PROCESOS INDUSTRIALES,TECNICO,DESERTOR,119.2,54,2.2074074074074073,CC,M,REGULAR,34.0,SOLTERO,,1.0,0,4.6457232,-74.0569682,CHAPINERO
5079,009fb45e2c6b6d69fc2ce4eb4ff5c870,ced786cd5808566f8433e2775fb9d772,TECNOLOGIA EN PRODUCCION INDUSTRIAL,TECNOLOGIA,ACTIVO,105.4,31,3.4000000000000004,CC,M,REGULAR,34.0,SOLTERO,,1.0,0,4.6457232,-74.0569682,CHAPINERO
5080,b6767b0d9fdce8e82233a2f63d80a055,c97a6d436e28f85cf64ef98221747667,TECNICO PROFESIONAL EN MECATRONICA,TECNICO,DESERTOR,37.1,13,2.853846153846154,CC,M,REGULAR,34.0,SOLTERO,,3.0,0,,,
5081,8fabf01bd42c6492d04de136d282b34b,3a81d7a09eb0f437a3fd3c87b5194c8c,ESPECIALIZACION TECNICA PROFESIONAL EN INSTRUMENTACION INDUSTRIAL,ESPECIALIZACION,DESERTOR,16.6,6,2.766666666666667,CC,F,REGULAR,34.0,SOLTERO,,2.0,0,,,
5082,f7558d86e9a6f0558aecae859d69238c,3a81d7a09eb0f437a3fd3c87b5194c8c,TECNICO PROFESIONAL EN ELECTROMECANICA,TECNICO,DESERTOR,154.70000000000002,56,2.7625,CC,F,REGULAR,34.0,SOLTERO,,2.0,0,,,
5083,6f0174eca97bddbf1a70abd0c34b0343,e07868d4835a9b22ec999cf67795b998,INGENIERIA EN PROCESOS INDUSTRIALES,PROFESIONAL,GRADUADO,216.50000000000003,54,4.0092592592592595,CC,F,REGULAR,34.0,SOLTERO,EMPLEADO,3.0,0,4.6051239,-74.0860334,MUNICIPIO ALEDANO
5084,d9c64fde814a36485dbba8b8af4f12b6,e07868d4835a9b22ec999cf67795b998,TECNICO PROFESIONAL EN PROCESOS INDUSTRIALES,TECNICO,GRADUADO,172.29999999999998,49,3.5163265306122446,CC,F,REGULAR,34.0,SOLTERO,EMPLEADO,3.0,0,4.6051239,-74.0860334,MUNICIPIO ALEDANO
